question_base,question_type,columns_count,columns,options_count,all_options,sample_columns
6.2 Chi se ne occupa?,multiple_choice,5,6.2 Chi se ne occupa?  [il dirigente scolastico]; 6.2 Chi se ne occupa?  [il docente che si occupa dell’accoglienza e dell’orientamento]; 6.2 Chi se ne occupa?  [il docente che si occupa dell’accoglienza e dell’orientamento affiancato dai docenti dei consigli di livello]; 6.2 Chi se ne occupa?  [esperto esterno]; 6.2 Chi se ne occupa?  [Altro],5,il dirigente scolastico; il docente che si occupa dell’accoglienza e dell’orientamento; il docente che si occupa dell’accoglienza e dell’orientamento affiancato dai docenti dei consigli di livello; esperto esterno; Altro,"['6.2 Chi se ne occupa?\xa0 [il dirigente scolastico]', '6.2 Chi se ne occupa?\xa0 [il docente che si occupa dell’accoglienza e dell’orientamento]', '6.2 Chi se ne occupa?\xa0 [il docente che si occupa dell’accoglienza e dell’orientamento affiancato dai docenti dei consigli di livello]', '6.2 Chi se ne occupa?\xa0 [esperto esterno]', '6.2 Chi se ne occupa?\xa0 [Altro]']"
6.3 Quali attività di orientamento sono oggetto di monitoraggio?,multiple_choice,16,"6.3 Quali attività di orientamento sono oggetto di monitoraggio? [Gli interventi formativi/informativi effettuati in ambito scolastico (rilevazione sistematica del gradimento degli interventi in aula o in istituto da parte di esperti esterni o dei docenti tutor etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [Gli interventi formativi/informativi effettuati in ambito extrascolastico (rilevazione sistematica del gradimento della partecipazione ad eventi organizzati dalle università o da istituzioni per la formazione di terzo livello etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La partecipazione degli studenti agli interventi effettuati nel CPIA (rilevazione sistematica del numero di CV compilati, numero di siti online visitati, partecipazione attiva ai dibattiti etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La partecipazione degli studenti agli interventi effettuati all’esterno del CPIA (rilevazione sistematica del numero di stand visitati nelle fiere, numero di partecipanti agli Open Day, numero partecipanti ai PCTO, restituzione attiva in classe delle esperienze effettuate etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La redazione del consiglio di orientamento (rilevazione del grado di accordo delle figure parentali/educative/tutoriali etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La redazione del curriculum dello studente (rilevazione del grado di accordo delle figure parentali/educative/tutoriali etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La compilazione dell’ePortfolio disponibile sulla piattaforma UNICA del MIM]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La compilazione del Dossier personale dell’IDA]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La definizione del Patto formativo individuale]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [Il percorso di riconoscimento dei crediti ]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [Il periodo didattico dedicato alle attività di “Accoglienza e Orientamento”]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La partecipazione delle istituzioni locali alle attività di orientamento presso il CPIA (numero e qualità degli interventi di ASL, biblioteche, centri per l’orientamento, centri per l’impiego etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La partecipazione delle aziende locali alle attività di orientamento presso il CPIA (numero e qualità degli interventi delle aziende etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La partecipazione delle figure parentali/educative/tutoriali alle attività di orientamento presso il CPIA (numero e qualità degli interventi etc.)]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La verifica della coerenza tra le attività svolte e gli obiettivi del PTOF]; 6.3 Quali attività di orientamento sono oggetto di monitoraggio? [L’utilizzo del RAV per l’individuazione dei fattori da rilevare, dei punti di forza e criticità, delle azioni di miglioramento]",16,"Gli interventi formativi/informativi effettuati in ambito scolastico (rilevazione sistematica del gradimento degli interventi in aula o in istituto da parte di esperti esterni o dei docenti tutor etc.); Gli interventi formativi/informativi effettuati in ambito extrascolastico (rilevazione sistematica del gradimento della partecipazione ad eventi organizzati dalle università o da istituzioni per la formazione di terzo livello etc.); La partecipazione degli studenti agli interventi effettuati nel CPIA (rilevazione sistematica del numero di CV compilati, numero di siti online visitati, partecipazione attiva ai dibattiti etc.); La partecipazione degli studenti agli interventi effettuati all’esterno del CPIA (rilevazione sistematica del numero di stand visitati nelle fiere, numero di partecipanti agli Open Day, numero partecipanti ai PCTO, restituzione attiva in classe delle esperienze effettuate etc.); La redazione del consiglio di orientamento (rilevazione del grado di accordo delle figure parentali/educative/tutoriali etc.); La redazione del curriculum dello studente (rilevazione del grado di accordo delle figure parentali/educative/tutoriali etc.); La compilazione dell’ePortfolio disponibile sulla piattaforma UNICA del MIM; La compilazione del Dossier personale dell’IDA; La definizione del Patto formativo individuale; Il percorso di riconoscimento dei crediti; Il periodo didattico dedicato alle attività di “Accoglienza e Orientamento”; La partecipazione delle istituzioni locali alle attività di orientamento presso il CPIA (numero e qualità degli interventi di ASL, biblioteche, centri per l’orientamento, centri per l’impiego etc.); La partecipazione delle aziende locali alle attività di orientamento presso il CPIA (numero e qualità degli interventi delle aziende etc.); La partecipazione delle figure parentali/educative/tutoriali alle attività di orientamento presso il CPIA (numero e qualità degli interventi etc.); La verifica della coerenza tra le attività svolte e gli obiettivi del PTOF; L’utilizzo del RAV per l’individuazione dei fattori da rilevare, dei punti di forza e criticità, delle azioni di miglioramento","['6.3 Quali attività di orientamento sono oggetto di monitoraggio? [Gli interventi formativi/informativi effettuati in ambito scolastico (rilevazione sistematica del gradimento degli interventi in aula o in istituto da parte di esperti esterni o dei docenti tutor etc.)]', '6.3 Quali attività di orientamento sono oggetto di monitoraggio? [Gli interventi formativi/informativi effettuati in ambito extrascolastico (rilevazione sistematica del gradimento della partecipazione ad eventi organizzati dalle università o da istituzioni per la formazione di terzo livello etc.)]', '6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La partecipazione degli studenti agli interventi effettuati nel CPIA (rilevazione sistematica del numero di CV compilati, numero di siti online visitati, partecipazione attiva ai dibattiti etc.)]', '6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La partecipazione degli studenti agli interventi effettuati all’esterno del CPIA (rilevazione sistematica del numero di stand visitati nelle fiere, numero di partecipanti agli Open Day, numero partecipanti ai PCTO, restituzione attiva in classe delle esperienze effettuate etc.)]', '6.3 Quali attività di orientamento sono oggetto di monitoraggio? [La redazione del consiglio di orientamento (rilevazione del grado di accordo delle figure parentali/educative/tutoriali etc.)]']"
6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento?,multiple_choice,11,"6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Griglie di osservazione ]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Check-list ]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Diari di bordo ]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari agli studenti ]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari ai docenti ]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari alle figure parentali/educative/tutoriali]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari alle istituzioni locali]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari alle aziende locali]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari alle aziende in cui lo studente svolge il tirocinio]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Dossier personale dello studente ]; 6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Contenuti elaborati nella definizione del Patto Formativo individuale, Dossier, Libretto dello studente]",11,"Griglie di osservazione; Check-list; Diari di bordo; Questionari agli studenti; Questionari ai docenti; Questionari alle figure parentali/educative/tutoriali; Questionari alle istituzioni locali; Questionari alle aziende locali; Questionari alle aziende in cui lo studente svolge il tirocinio; Dossier personale dello studente; Contenuti elaborati nella definizione del Patto Formativo individuale, Dossier, Libretto dello studente","['6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Griglie di osservazione ]', '6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Check-list ]', '6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Diari di bordo ]', '6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari agli studenti ]', '6.4 Quali strumenti sono utilizzati per il monitoraggio delle azioni di orientamento? [Questionari ai docenti ]']"
1.2 Età,simple,1,1.2 Età:,0,,['1.2 Età:']
1.7.b Specificare,simple,1,1.7.b Specificare:,0,,['1.7.b Specificare:']
1.9 Insegnamento in qualità di docente per le attività di sostegno,simple,1,1.9 Insegnamento in qualità di docente per le attività di sostegno ,0,,['1.9 Insegnamento in qualità di docente per le attività di sostegno\xa0']
2.1 Nel PTOF della sua scuola è prevista una sezione dedicata all’orientamento?,simple,1,2.1 Nel PTOF della sua scuola è prevista una sezione dedicata all’orientamento?,0,,['2.1 Nel PTOF della sua scuola è prevista una sezione dedicata all’orientamento?']
2.8 Il PTOF prevede una rete di coordinamento fra istituzioni scolastiche e formative per facilitare eventuali passaggi orizzontali tra i percorsi presenti sul territorio?,simple,1,2.8 Il PTOF prevede una rete di coordinamento fra istituzioni scolastiche e formative per facilitare eventuali passaggi orizzontali tra i percorsi presenti sul territorio? ,0,,['2.8 Il PTOF prevede una rete di coordinamento fra istituzioni scolastiche e formative per facilitare eventuali passaggi orizzontali tra i percorsi presenti sul territorio?\xa0']
3.7 A quali (indicare autori e modelli)?,simple,1,3.7 A quali (indicare autori e modelli)?,0,,['3.7 A quali (indicare autori e modelli)?']
3.16 Nel CPIA è disponibile uno sportello per gli utenti dell'orientamento?,simple,1,3.16 Nel CPIA è disponibile uno sportello per gli utenti dell'orientamento?,0,,"[""3.16 Nel CPIA è disponibile uno sportello per gli utenti dell'orientamento?""]"
7.1 Sarebbe per noi molto importante se volesse fornire ulteriori indicazioni per rendere il servizio all’interno dell’istituto scolastico in cui opera più efficace in relazione ai bisogni di orientamento.,simple,1,7.1 Sarebbe per noi molto importante se volesse fornire ulteriori indicazioni per rendere il servizio all’interno dell’istituto scolastico in cui opera più efficace in relazione ai bisogni di orientamento.,0,,['7.1 Sarebbe per noi molto importante se volesse fornire ulteriori indicazioni per rendere il servizio all’interno dell’istituto scolastico in cui opera più efficace in relazione ai bisogni di orientamento.']
